Gen	lnL	lnP	TL	Insertion	Deletion	
29200	-36076.7	-977.969	3.40287	0.196795	0.233316	
29300	-36083.4	-979.195	3.37155	0.196388	0.233723	
29400	-36079.6	-978.643	3.35119	0.196388	0.233723	
29500	-36062.4	-977.592	3.32701	0.196497	0.233614	
29600	-36043.2	-975.72	3.32701	0.191105	0.227203	
29700	-36052.6	-975.575	3.27795	0.191105	0.227203	
29800	-36055	-975.006	3.31257	0.191559	0.226749	
29900	-36066.2	-976.813	3.44272	0.191559	0.226749	
30000	-36065.5	-976.664	3.41095	0.191559	0.226749	
30100	-36080.2	-977.723	3.36898	0.19756	0.233852	
30200	-36069.6	-977.57	3.37055	0.19756	0.233852	
30300	-36062	-973.613	3.37055	0.189911	0.222734	
30400	-36078.4	-974.852	3.43067	0.189911	0.222734	
30500	-36088.9	-975.103	3.39201	0.189911	0.222734	
30600	-36102	-976.463	3.39201	0.189176	0.223469	
30700	-36104.2	-975.043	3.26667	0.189176	0.223469	
30800	-36080.4	-975.635	3.4091	0.189176	0.223469	
30900	-36077.5	-975.968	3.4091	0.189176	0.223469	
31000	-36079	-974.046	3.21692	0.189176	0.223469	
31100	-36091.8	-975.082	3.3039	0.189176	0.223469	
31200	-36098.3	-976.87	3.49933	0.189176	0.223469	
31300	-36102.6	-975.624	3.37469	0.189176	0.223469	
31400	-36088.8	-974.957	3.37469	0.189176	0.223469	
31500	-36096.1	-974.511	3.31339	0.189176	0.223469	
31600	-36108.7	-975.981	3.42708	0.189176	0.223469	
31700	-36076.7	-976.281	3.42708	0.194363	0.229767	
31800	-36084	-976.783	3.42708	0.194363	0.229767	
31900	-36107.2	-975.678	3.26635	0.194363	0.229767	
32000	-36116.6	-977.043	3.48786	0.194841	0.229289	
32100	-36107.4	-975.256	3.34181	0.194841	0.229289	
32200	-36104.9	-975.925	3.39238	0.194841	0.229289	
32300	-36107.9	-974.992	3.28281	0.194841	0.229289	
32400	-36099.3	-975.155	3.28281	0.194841	0.229289	
32500	-36092.4	-974.829	3.28281	0.194841	0.229289	
32600	-36095.6	-975.481	3.28281	0.194841	0.229289	
32700	-36103.5	-974.629	3.28764	0.18921	0.222663	
32800	-36105.2	-974.994	3.32418	0.18921	0.222663	
32900	-36108	-976.125	3.32418	0.188557	0.223316	
33000	-36110.6	-976.294	3.32418	0.188557	0.223316	
33100	-36112.4	-976.522	3.34698	0.188557	0.223316	
33200	-36110.5	-976.764	3.37115	0.188557	0.223316	
33300	-36099.6	-977.331	3.4617	0.188557	0.223316	
33400	-36082.1	-976.654	3.4617	0.188557	0.223316	
33500	-36101	-976.201	3.38256	0.188557	0.223316	
33600	-36104.6	-977.991	3.38256	0.193652	0.229351	
33700	-36092.1	-979.672	3.33693	0.20499	0.242779	
33800	-36085.1	-980.334	3.38619	0.20499	0.242779	
33900	-36058.2	-977.539	3.22507	0.20499	0.242779	
34000	-36070.1	-979.868	3.39032	0.20499	0.242779	
34100	-36060.6	-976.469	3.11813	0.20499	0.242779	
