Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]	TL
640	-6364.648	-6358.55	-6.097401	4.346554	0.180229	0.12948	0.151924	0.0681186	0.102151	0.156471	0.22029	0.380712	0.347922	0.246439	0.110254	0.0731723	0.24622	0.0496636	0.105781	0.329288	0.0585758	0.115235	0.472443	0.786401	1.08421	1.65695	3.071927
650	-6363.267	-6357.698	-5.569196	4.223966	0.12914	0.177784	0.20056	0.0773624	0.0952429	0.156544	0.237717	0.371469	0.30446	0.234376	0.115151	0.056115	0.165411	0.0886304	0.106456	0.253671	0.0817564	0.16726	0.466258	0.782615	1.0843	1.66682	3.019106
660	-6366.431	-6360.844	-5.586604	5.37343	0.0907217	0.218801	0.192322	0.0683699	0.0811374	0.196282	0.270728	0.330577	0.275117	0.217287	0.0993798	0.0492092	0.224128	0.0666062	0.111377	0.2398	0.0530078	0.235996	0.516885	0.812391	1.0826	1.58813	3.020847
670	-6372.281	-6362.963	-9.318066	2.838704	0.048339	0.222831	0.175468	0.0717204	0.128768	0.115832	0.281588	0.436106	0.276116	0.184108	0.127968	0.0269591	0.202645	0.137239	0.114902	0.475927	0.0952398	0.272235	0.376386	0.722187	1.08159	1.81983	3.393993
680	-6364.919	-6356.512	-8.407053	2.884558	0.115004	0.224477	0.172321	0.0657664	0.0945536	0.153382	0.302784	0.430203	0.318517	0.224009	0.109	0.062764	0.254566	0.0685389	0.0888193	0.329861	0.101519	0.186807	0.380129	0.724929	1.08188	1.81306	3.302892
690	-6370.253	-6362.815	-7.438554	2.203191	0.125235	0.112905	0.215063	0.0329213	0.113647	0.135303	0.260745	0.430203	0.409516	0.243058	0.107527	0.0579953	0.188643	0.0909231	0.167037	0.319736	0.0632599	0.132323	0.31638	0.675016	1.07433	1.93427	3.206042
700	-6369.585	-6360.734	-8.851097	3.367203	0.0924218	0.217169	0.161927	0.0644874	0.0861702	0.145053	0.361379	0.481239	0.400757	0.241845	0.170481	0.0827804	0.134986	0.0329508	0.0947316	0.32722	0.0499419	0.201756	0.415815	0.750026	1.08381	1.75035	3.347296
710	-6368.49	-6361.857	-6.633263	3.946162	0.0476644	0.232357	0.165581	0.05966	0.104072	0.133327	0.245712	0.363308	0.2998	0.273968	0.111414	0.0630979	0.232466	0.0470033	0.055694	0.32722	0.0615956	0.301574	0.45138	0.773327	1.08441	1.69089	3.125513
720	-6374.411	-6364.423	-9.987239	3.481773	0.043848	0.108497	0.161708	0.0564459	0.118935	0.163999	0.228663	0.385322	0.476587	0.231233	0.115431	0.123096	0.240952	0.0967895	0.157668	0.317012	0.118419	0.316305	0.42341	0.755138	1.08404	1.73741	3.460911
730	-6364.055	-6356.217	-7.838306	3.825656	0.0282497	0.236748	0.185014	0.0521863	0.117003	0.153725	0.259132	0.354964	0.365987	0.184173	0.0941528	0.0764081	0.205382	0.102314	0.0873753	0.36495	0.061463	0.316791	0.444521	0.768956	1.08439	1.70214	3.246017
740	-6368.476	-6359.357	-9.118033	3.808383	0.0481263	0.203135	0.168	0.0402922	0.132754	0.174479	0.317628	0.345385	0.414917	0.281394	0.123878	0.0784866	0.169812	0.0833794	0.165902	0.354502	0.0511088	0.22081	0.443516	0.768311	1.08438	1.70379	3.37399
750	-6366.99	-6360.116	-6.873693	3.77237	0.0895181	0.187692	0.198169	0.0499601	0.132879	0.0985142	0.312316	0.374534	0.34351	0.193914	0.0682496	0.0533261	0.175318	0.0876582	0.184804	0.306589	0.0720369	0.220569	0.441403	0.76695	1.08436	1.70728	3.149556
